id	intended_politeness	ilp_paraphrase	greedy_paraphrase	retrieval_paraphrase	receiver	text
478433026.142828.142828	-0.13906119316963553	ok , if it has images then does it make it reliable ( for the topped out building ) ? ? ?	ok , if it has images then does it make it reliable ( for the topped out building ) ? ? ?	ok , if it has images then does it make it reliable ( for the topped out building ) ? ? ?	average	Um OK, if it has images then does it make it reliable (For the topped out building) ???
4850104.240.240	-0.13906119316963553	so right . well , i wonder what the largest bronze buddha statue is , then ? -	so right . well , i wonder what the largest bronze buddha statue is , then ? -	so right . well , i wonder what the largest bronze buddha statue is , then ? -	average	Um, right.  Well, I wonder what the largest bronze Buddha statue is, then? -
488153180.0.1039	-0.13906119316963553	pwede , but feel man nako mag kilig2x karon hehe . but feel man nako mag kilig2x karon hehe . unsa na password ila gi share talebs ?	pwede , but feel man nako mag kilig2x karon hehe . but feel man nako mag kilig2x karon hehe . unsa na password ila gi share talebs ?	pwede , but feel man nako mag kilig2x karon hehe . but feel man nako mag kilig2x karon hehe . unsa na password ila gi share talebs ?	average	Hmm pwede, but feel man nako mag kilig2x karon hehehe. Unsa na na password ila gi share talebs?
49106012.0.0	-0.38788794992449194	- cherry - . isn ' t she in the movie cherry ? ? it ' s obscure , yes . . . but just thought i ' d point it out . . .	-cherry - ... isn't she in the movie cherry ? ? ? it 's obscure , yes .... but just thought i 'd point it out ....	-cherry - ... isn't she in the movie cherry ? ? ? it 's obscure , yes .... thought i 'd point it out ....	average	-Cherry-Um...Isn't she in the movie Cherry??? It's obscure, yes....but just thought I'd point it out....
491639301.13.12881	-0.13906119316963553	"and what do people want to do ? move "" facebook , oh , oh "" to "" the social network song "" ? ] ]"	"and what do people want to do ? move "" facebook , oh , oh "" to "" the social network song "" ? ] ]"	"what do people want to do ? move "" facebook , oh , oh "" to "" the social network song "" ? ] ]"	average	"What do people want to do? Move ""Facebook Uh, Oh, Oh"" to ""The Social Network Song""?  ]]"
491639301.13.13226	-0.13906119316963553	"shouldn ' t it be moved to "" the social network song ( oh - oh - oh - oh ) "" ? <unk>"	"shouldn ' t it be moved to "" the social network song ( oh - oh - oh - oh ) "" ? <unk>"	"shouldn ' t it be moved to "" the social network song ( oh - oh - oh - oh - oh - oh - oh - oh - ? < unk >"	average	"Shouldn't it be moved to ""The Social Network Song (Oh Oh-Uh-Oh Oh)""?   —"
50471833.51176.51163	-0.13906119316963553	i haven ' t seen you for a while . and how are things these days ?	i haven ' t seen you for a while . and how are things these days ?	please , i haven ' t seen you for a while . how are things these days ?	average	Hmm...I haven't seen you for a while. How are things these days?
412113221.27624.27624	-0.13906119316963553	and here are the lyrics , cocaine yes , masturbation ? i ' m not seeing it . would be an interesting hook though .	and here are the lyrics , cocaine yes , masturbation ? i ' m not seeing it . would be an interesting hook though .	here are the lyrics , cocaine yes , masturbation ? i ' m not seeing it . would be an interesting hook though .	average	Hmm, here are the lyrics, cocaine yes, masturbation? I'm not seeing it. Would be an interesting hook though.
467601656.147258.196779	-0.38396880093292285	oh . please are dank , wehwalt and us colluding now ? ( and now i ' ve fixed a typo there wp : ccc ) .	oh .   are dank , wehwalt and me colluding now ? and now i 've fixed a typo there wp : ccc ) .	oh .   are dank , wehwalt and me colluding now ? now i 've fixed a typo there wp : ccc ) .	average	Uh, oh.  Are Dank, Wehwalt and me colluding now?  And now I've fixed a typo there (WP:CCC).
406344831.4187.4654	-0.13906119316963553	so this is well outside my area of expertise ; you might try asking at wp : vpt . <unk>[ user talk :	so this is well outside my area of expertise ; you might try asking at wp : vpt . <unk>[ user talk :	this is well outside my area of expertise ; surely you might try asking at wp : vpt . <unk>[ user talk :	average	Hmm - this is well outside my area of expertise; you might try asking at WP:VPT. –[[user talk:
395884512.22337.22801	-0.13906119316963553	huh . so are you suggesting something to aid in the article or are you soapboxing ?	huh . so are you suggesting something to aid in the article or are you soapboxing ?	huh . are you suggesting something to aid in the article or are you soapboxing ? please	average	Uh huh.  Are you suggesting something to aid in the article or are you soapboxing?
323283916.284.655	-0.13906119316963553	so to create a reliable encyclopedia backed up by verifiable sources ? what ' s your aim ? /	so to create a reliable encyclopedia backed up by verifiable sources ? what ' s your aim ? /	so to create a reliable encyclopedia backed up by verifiable sources ? what ' s your aim ? /	average	Um, to create a reliable encyclopedia backed up by verifiable sources?  What's your aim?  /
32443084.0.0	-0.4973843009764195	so are you actually into it or something ? ' ' <unk><unk>) ' '	so are you actually into it or something ? ' ' <unk><unk>) ' '	okso are you into it or something ? '' ¦ ⇒ ✉ ) ' '	average	Hmm okSo are you actually into it or something? '' ( ¦ ⇒✉)''
325561459.435.415	-0.13906119316963553	doesn ' t much look like a martin . . . more like a blackbird ( ? ? ? ? ? ? ? ? ? ? ?	doesn ' t much look like a martin . . . more like a blackbird ( ? ? ? ? ? ? ? ? ? ? ?	doesn ' t much look like a martin . . . more like a blackbird ( ? ? ? ? ? ? ? ? ? ? ?	average	Hmm...doesn't much look like a martin...more like a Blackbird (????????????)   ·
334651061.11719.11719	-0.13906119316963553	so did you not see the completed checkuser results at the bottom of the spi case page ? <unk>	so did you not see the completed checkuser results at the bottom of the spi case page ? <unk>	did you not see the completed checkuser results at just the bottom of the spi case page ? <unk>	average	Uh, did you not see the completed CheckUser results at the bottom of the SPI case page? –
335317533.306.24297	-0.13906119316963553	poderia eliminar o redirect ? como esta no meu namespace , acho que nao ppreciso de motivo , certo ?	poderia eliminar o redirect ? como esta no meu namespace , acho que nao ppreciso de motivo , certo ?	poderia eliminar o redirect ? como está no meu namespace , acho que não ppreciso de motivo , certo ?	average	poderia eliminar o redirect ? como está no meu namespace, acho que não ppreciso de um motivo, certo?
336359116.256.128019	-0.38396880093292285	so , btw , what ever happened to the discussion by ne2 actually regarding copyright ? please also - any other updates ?	so , , what ever happened to the discussion by ne2 regarding copyright ? also- any other updates ?	, what ever happened to the discussion by ne2 regarding copyright ? also - any other updates ?	average	So, um, what ever happened to the discussion by NE2 regarding copyright? Also- any other updates?
336946185.2.129091	-0.13906119316963553	and i do not recall any memory that i met you on any article . are you korean ?	and i do not recall any memory that i met you on any article . are you korean ?	i do not recall any memory that i met you on any article . are you korean ?	average	Hmm...I do not recall any memory that I met you on any article. Are you Korean?
33778735.989.989	-0.38396880093292285	ok . . . whatever . . . did you actually get that user name yet ? or do you prefer hiding behind your ip ?	ok ... whatever ... did you get that user name yet ? or do you prefer hiding behind your ip ?	ok ... whatever ... did you get that user name yet ? or do you prefer hiding behind your ip ?	average	uh...ok...whatever...Did you get that user name yet? Or do you prefer hiding behind your IP?
339346721.2491.5217	-0.13906119316963553	"goodday , did you promise a one - night - stand that you ' d "" call her "" and fail to do so ?"	"goodday , did you promise a one - night - stand that you ' d "" call her "" and fail to do so ?"	"goodday , did you promise a one - night - stand that you 'd "" call her "" and fail to do so ?"	average	"GoodDay, did you promise a one-night-stand that you'd ""call her"" and fail to do so? Hmm...."
341575325.19139.19139	-0.05323459112185888	ok . . . how do we actually do that ? oh , check your mail , for you .	ok ... so how do we do that ? oh , check your mail , by the way .	ok ... so how do we do that ? oh , check your mail , .	average	Hmm...ok...so how do we do that? Oh, check your mail, by the way.
344211554.36176.36176	-0.13906119316963553	so no variations without the ampersand either , ? well , there goes my plans for a dab page .	so no variations without the ampersand either , ? well , there goes my plans for a dab page .	no variations without the ampersand either , ? well , there goes my plans for a dab page .	average	No variations without the ampersand either, hmm? Well, there goes my plans for a dab page.
345133348.33200.33200	-0.38396880093292285	oh , dangerously close to an actual answer now . so . . . are they really . . . ' ' equally ' ' notable ?	oh , dangerously close to an actual answer now . so ... are they ... ' ' equally ' ' notable ?	oh , dangerously close to an actual answer now . are they really . . . ' ' equally ' ' notable ?	average	Uh-oh, dangerously close to an actual answer now. So... are they... ''equally'' notable?
355081932.522.3813	-0.13906119316963553	holy shit ? that was like , 3 years old . and what are you doing digging thru 3 years old afds ? '	holy shit ? that was like , 3 years old . and what are you doing digging thru 3 years old afds ? '	holy shit ? that was like , 3 years old . what are you doing digging thru 3 year old afds ?   '	average	Um, holy shit?  That was like, 3 years old.  What are you doing digging thru 3 year old AFDs?  '
356633508.16727.16711	-0.13906119316963553	"so why do you "" cuddle "" text so much ? you seem to enjoy getting real intimate with it . . ."	"so why do you "" cuddle "" text so much ? you seem to enjoy getting real intimate with it . . ."	"why do you "" cuddle "" text so much ? you seem to enjoy getting real intimate with it ..."	average	"Uh, why do you ""cuddle"" text so much? You seem to enjoy getting real intimate with it..."
357990082.9458.9458	-0.13906119316963553	so there ' s a few things you can try - does the old version work for you ? importscript ( ' user : auto / reword . js ' ) ;	so there ' s a few things you can try - does the old version work for you ? importscript ( ' user : auto / reword . js ' ) ;	there 's a few things you can try - does the old version work for you?importscript('user : auto / reword.js ' ) ;	average	Hmm... There's a few things you can try - does the old version work for you?importScript('User:Auto/reword.js');
358534326.0.0	0.10658809711938552	everyone ! i 'm new ... this is like an expiriment . , what exactly are these talk pages ' ' for ' ' ?	hi , everyone ! i ' m new . . . this is like an expiriment . . . , what exactly are these talk pages ' ' for ' ' ?	thank you ! btw everyone ! i ' m new . . . this is like an expiriment . , what exactly are these talk pages ' ' for ' ' ?	average	Hi, everyone! I'm new...this is like an expiriment. So, um, what exactly are these talk pages ''for''?
361656668.4163.4163	-0.38396880093292285	i ' m really pretty sure that talk : pages can ' t be vandalised ( aside from blanking ) so what ' s this all about ?	i'm pretty sure that talk : pages ca n't be vandalised ( aside from blanking ) so what 's this all about ?	i'm pretty sure that talk : pages ca n't be vandalised ( aside from blanking ) what 's this all about ?	average	um..I'm pretty sure that talk:pages can't be vandalised (aside from blanking) so what's this all about?
364758754.57174.57174	-0.13906119316963553	so you might be right . what do you make of it ? |	so you might be right . what do you make of it ? |	you might be right . what do you make of it ? |	average	Hmm, you might be right. What do you make of it?  |
366297141.1994.20231	-0.4973843009764195	and i really can ' t figure a way to slot in it . ideas ?	and i really can ' t figure a way to slot in it . ideas ?	and i can ' t figure a way to slot in it . ideas ?	average	Hmm I really can't figure a way to slot in it. Ideas?
38520513.1617.1617	-0.4973843009764195	so can someone actually post a plot for this movie ? raveled	so can someone actually post a plot for this movie ? raveled	can someone actually post a plot for this movie ? just raveled	average	Um, can someone actually post a plot for this movie? Raveled
39165553.5934.7799	-0.13906119316963553	so why ? some of the fas i ' ve seen lately are better than this . |	so why ? some of the fas i ' ve seen lately are better than this . |	why ? some of the fas i 've seen lately are better than this . |	average	Uh...why? Some of the FAs I've seen lately are better than this.  |
402389406.1281.3203	-0.13906119316963553	it doesn ' t appear to be blanked to me . so you ' re talking about wikipedia : articles for deletion / utah eagle forum ?	it doesn ' t appear to be blanked to me . so you ' re talking about wikipedia : articles for deletion / utah eagle forum ?	it does n't appear to be blanked to me . you 're talking about wikipedia : articles for deletion / utah eagle forum ?	average	Hmm... it doesn't appear to be blanked to me. You're talking about Wikipedia:Articles for deletion/Utah Eagle Forum?
318165477.942.28191	-0.13906119316963553	"and what ' s up with the "" when the vikings win the super bowl "" comment ? shouldn ' t that "" when "" established users ? ? ?"	"and what ' s up with the "" when the vikings win the super bowl "" comment ? shouldn ' t that "" when "" established users ? ? ?"	"what 's up with the "" when the vikings win the super bowl "" comment ? should n't that "" when "" be "" if "" established users ? ? ?"	average	"uh, what's up with the ""when the Vikings win the Super Bowl"" comment? Shouldn't that ""when"" be ""if"" established users???"
522621959.13731.0	-0.13906119316963553	"so you ' ve seen draco ' s comment , right ? ' ' "" the block was ridiculous to begin with "" ' . . ."	"so you ' ve seen draco ' s comment , right ? ' ' "" the block was ridiculous to begin with "" ' . . ."	"you ' ve seen draco ' s comment , right ? ' ' "" the block was ridiculous to begin with "" ' . . ."	average	"Hmm...you've seen Draco's comment, right?  ''""The block was ridiculous to begin with""''..."
535458730.73476.73476	-0.13906119316963553	and that kind of aggressive put - down is not needed for this talk page .	and that kind of aggressive put - down is not needed for this talk page .	that kind of aggressive actually put - down is not needed for this talk page .	average	Hmm?  That kind of aggressive put-down is not needed for this talk page.
728854702.342.1722	0.8622939828662647	btw , can you check out why the next / prev seasons aren ' t appearing on this page for you : . { { re }	thank you ! can you check out why the next / prev seasons aren ' t appearing on this page for me : . { { re }	thank you ! can you check out why the next / prev seasons are n't appearing on this page : . { re } }	average	Thank you! Um, can you check out why the next/prev seasons aren't appearing on this page: .   Please {{re}}
734597296.5083.5072	-0.13906119316963553	it says that i already have a nick in irc , but i don ' t ? or is someone using my account ?	it says that i already have a nick in irc , but i don ' t ? or is someone using my account ?	perhaps it says that i already have a nick in irc , but i honestly don ' t ? is someone using my account ?	average	Uh, it says that I already have a nick in IRC, but I don't? Is someone using my account?
734876370.0.2084	-0.13906119316963553	it says that my nick in irc is taken , but i didn ' t log in ? or is someone using my account ?	it says that my nick in irc is taken , but i didn ' t log in ? or is someone using my account ?	it says that my nick in irc is taken , but i didn ' t log in ? is someone using my account ? please is someone using my account ?	average	Uh, it says that my nick in IRC is taken, but I didn't log in? Is someone using my account?
753237206.1824.22753	-0.13906119316963553	so try reading this thread from the beginning , particularly the points i have made repeatedly ? ~	so try reading this thread from the beginning , particularly the points i have made repeatedly ? ~	try reading this thread from the beginning , particularly the points i have made repeatedly ? ~	average	Um... try reading this thread from the beginning, particularly the points I have made repeatedly? ~
759766297.804.804	-0.13906119316963553	and the atp and itf use christopher . how is he known as chris ? ?	and the atp and itf use christopher . how is he known as chris ? ?	the atp and itf use christopher . how is he known as chris ? ? ?	average	Um, the ATP and ITF use Christopher. How is he known as Chris???
76303428.24517.24438	-1.2675678917095894	and what - do you really mean by s ' cool ? user page : soundpound50005 : 25p . m . october , 17 2006	okay . . . . . . what - do you mean by s ' cool ? user page : soundpound50005 : 25p . m . september , 17 2006	okay .............. what - - do you mean by s'cool ? user page : soundpound50005:25p.m . september , 17 2006	average	Um..........okay..............what-the-heck do you mean by s'cool? User Page:SoundPound50005:25p.m. September, 17 2006
783016129.6275.6275	-0.38396880093292285	so btw when all other sources use the company ' s ' ' actually actual ' ' name , they ' re using it for promotional reasons ? please	so when all other sources use the company 's ' ' actual ' ' name , they 're using it for promotional reasons ?	so when all other sources use the company 's ' ' actual ' ' name , they 're using it for promotional reasons ?	average	So when all other sources use the company's ''actual'' name, they're using it for promotional reasons? Hmm...
801187768.2055.2576	-0.13906119316963553	interesting , i see the same thing . and how long ago did you contact them ?	interesting , i see the same thing . and how long ago did you contact them ?	interesting , i see the same thing . how long ago did you actually contact them ?	average	Hmm, interesting, I see the same thing. How long ago did you contact them?
802889563.13417.13441	-0.13906119316963553	and what do others make of this ? malik shabazz	and what do others make of this ? malik shabazz	what do others make of this ? malik shabazz	average	Hmm. What do others make of this? — Malik Shabazz
81146225.91840.91840	0.8500571509061233	hello . perhaps for me , for me , for me	thanks for this . . . you might want to try wikibooks ? -	i ' m sorry , i ' m	average	Uh, thanks for this...you might want to try Wikibooks? -
812974993.611.611	-0.13906119316963553	"so is this guy ' s wife ' s name "" general woman ? "" because that ' s what it says right now . . ."	"so is this guy ' s wife ' s name "" general woman ? "" because that ' s what it says right now . . ."	"is this really wife ' s name "" general woman ? "" because that ' s what it says right now . . ."	average	"Uh is this guy's wife's name ""General woman?""  Because that's what it says right now..."
81422653.809.14130	-0.13906119316963553	so this sounds like pritilata , but i don ' t have any references . where did you find the phrase ?	so this sounds like pritilata , but i don ' t have any references . where did you find the phrase ?	this sounds like pritilata , but i do n't have any references . where did you find the phrase ?	average	Hmm, this sounds like Pritilata, but I don't have any references. Where did you find the phrase?
8204491.0.144	-0.13906119316963553	"lots of missing images and questionable sections ( "" definite miscount "" ? ) . but this page needs some work ."	"lots of missing images and questionable sections ( "" definite miscount "" ? ) . but this page needs some work ."	"lots of missing images and questionable sections ( "" definite miscount "" ? ) . this page really needs some work ."	average	"Hmm ... lots of missing images and questionable sections (""Definite Miscount""?). This page needs some work."
84690212.1325.1325	-0.21290677882982387	yes , chumski . and beavers the size of bears , hmm ? -	yes , yes , chumski . and beavers the size of bears , ? -	yes , chumski . and beavers the size of bears , perhaps ? -	average	Yes, yes, chumski. And beavers the size of bears, hmm? -
8732806.0.0	-0.13906119316963553	so why is the article linking to the edit page for ' ' summer of darkness ' ' ? it ' s already made . <unk>	so why is the article linking to the edit page for ' ' summer of darkness ' ' ? it ' s already made . <unk>	why is the article linking to the edit page for ' ' summer of darkness ' ' ? please it ' s already made . <unk>	average	Um, why is the article linking to the edit page for ''Summer of Darkness''?  It's already made.—
87867925.0.0	-0.13906119316963553	and is this a terrible article ? it doesn ' t seem to make any sense .	and is this a terrible article ? it doesn ' t seem to make any sense .	is this a terrible article ? it does n't seem to make any sense .	average	Um... is this a terrible article?  It doesn't seem to make any sense.
88677222.5344.5344	-0.13906119316963553	and what ? you ' re going to have to be a good deal more specific .	and what ? you ' re going to have to be a good deal more specific .	what ? you 're going to have to be a good deal more specific .	average	Um.  What?  You're going to have to be a good deal more specific.
92276856.0.0	0.0320008289334634	"haloween?what does that mean tell me paleeze????well "" sports fanatic "" luv ya!u gotta tell me !"	"yeah haloween ? what does that mean tell me paleeze ? ? ? ? well "" sports fanatic "" luv ya ! u gotta gotta tell me !"	"hi haloween ? what does that mean tell me paleeze ? ? ? ? ? well "" sports fanatic "" luv ya ! u gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta gotta"	average	"UM YEAH HALOWEEN?wHAT DOES THAT MEAN TELL ME PALEEZE????Well ""sports fanatic"" Luv ya!U GOTTA TELL ME!"
92355858.1060.2909	-0.13906119316963553	oh , that thing ? quizfarm gave me that text automatically but i guess i should fix that rofl .	oh , that thing ? quizfarm gave me that text automatically but i guess i should fix that rofl .	oh , that thing ? quizfarm actually gave me that text automatically i guess i should fix that rofl .	average	Oh, that thing? Hmm, Quizfarm gave me that text automatically, I guess I should fix that rofl.
93208895.825.34684	-0.14298034216120462	ah . so why did i think you are american ? ! you may be only just down the road from me then .	ah . so why did i think you are american ? ! you may be only just down the road from me then .	ah . so why did i think you are american ? ! you may be only down the road from me then .	average	Ah. Why did I think you are American?! Hmm... You may be only just down the road from me then.
94200631.12549.2991	-0.13906119316963553	and what have i done that ' s so now where do i sigh up ?	and what have i done that ' s so now where do i sigh up ?	actually , what have i done that ' s so now where do i sigh up ?	average	Uh what have I done that's so good?Ok now where do I sigh up?
723006976.41613.41613	0.09081613205645675	weird . what page are you trying to fix ? { { ping } } when replying )	weird . what page are you trying to fix ? { { ping } when replying )	weird . what page are you trying to fix ? { { ping } when replying )	average	Um, weird. What page are you trying to fix?   (Please {{Ping}} when replying)
52612347.0.0	-0.4973843009764195	so is this really needed ? pretty much all of the information is either here or here .	so is this really needed ? pretty much all of the information is either here or here .	is this needed ? pretty much all of the information is either here or here .	average	Um, is this really needed? Pretty much all of the information is either here or here.
713998609.8476.13583	-0.13906119316963553	wait , wasn ' t the idea to have three eight - hour preps ? and how would that alter feature times for later sets ?	wait , wasn ' t the idea to have three eight - hour preps ? and how would that alter feature times for later sets ?	please wait , wasn ' t the idea to have three eight - hour preps ? how would that alter feature times for later sets ?	average	Um, wait, wasn't the idea to have three eight-hour preps? How would that alter feature times for later sets?
69701400.36.23	-0.13906119316963553	and how is girafarig a fictional camel ? this needs to be removed , methinks !	and how is girafarig a fictional camel ? this needs to be removed , methinks !	how is girafarig a fictional camel ? this needs to be removed , methinks !	average	Um...how is girafarig a fictional camel?  This needs to be removed, methinks!
536836485.896.5888	-0.14298034216120462	so it was just the final fantasy mos - p <unk>	so it was just the final fantasy mos - p <unk>	so it was the final fantasy mos - p <unk>	average	Hmm? It was just the Final Fantasy MoS -P —
554063027.517.23837	-0.38396880093292285	what are you talking about ? buckley did actually fire sobran for anti - semitism and everyone knows it . thedookieman	what are you talking about ? buckley did fire sobran for anti - semitism and everybody knows it . thedookieman	hi , what are you talking about ? buckley did fire sobran for anti - semitism everybody knows it . thedookieman	average	Uh, what are you talking about? Buckley DID fire Sobran for anti-semitism and everybody knows it.  TheDookieMan
5554070.4391.4410	-0.13906119316963553	so there ' s nothing wrong with your version , assuming it ' s correct . . .	so there ' s nothing wrong with your version , assuming it ' s correct . . .	surely there ' s nothing wrong with your version , assuming it ' s correct . . .	average	Hmm? There's nothing wrong with your version, assuming it's correct...
56135317.21713.21713	-0.14298034216120462	so k . . . did you just change the introduction without consulting us first ? i ' m changing it back .	so k . . . did you just change the introduction without consulting us first ? i ' m changing it back .	so k . . . did you change the introduction without consulting us first ? i ' m changing it back .	average	K um... did you just change the introduction without consulting us first? I'm changing it back.
562508034.977.3096	-0.13906119316963553	so does using prevent wikipedia and google from displaying the wikitext in their searches ? <unk>'	so does using prevent wikipedia and google from displaying the wikitext in their searches ? <unk>'	does using prevent wikipedia and google from displaying the wikitext in their searches ? < unk > ' '	average	Hmm... does using  prevent Wikipedia and Google from displaying the wikitext in their searches? — '
58606712.25787.25787	-0.14298034216120462	"good point . but how about renaming it the "" inforcers "" , as they are inforcing the act , not just supporting it ?"	"good point . but how about renaming it the "" inforcers "" , as they are inforcing the act , not just supporting it ?"	"good point . how about renaming it the "" inforcers "" , as they are inforcing the act , not supporting it ?"	average	"Hmm, good point. How about renaming it the ""Inforcers"", as they are inforcing the act, not just supporting it?"
5869049.0.0	-0.13906119316963553	isn ' t x bottles of beers wrong ? or shouldn ' t it be x bottles of beer ?	isn ' t x bottles of beers wrong ? or shouldn ' t it be x bottles of beer ?	is n't x bottles of beers wrong ? should n't it be x bottles of beer ?	average	Um, isn't x bottles of beers wrong? Shouldn't it be x bottles of beer?
614829662.113359.115901	-0.13906119316963553	i support this proposal . but did he proposed it anywhere ? ?	i support this proposal . but did he proposed it anywhere ? ?	i support this proposal . did he actually proposed it anywhere ? ?	average	Hmm. I support this proposal. Did he proposed it anywhere??
614975745.525.17717	0.3150071075271621	that might work well , can you find a way to preview what that would look like . - ( )	that might work well for me , find a way to preview what that would look like . - ( )	that might work well , can you find a way to preview what that would look like . - ( )	average	Hmm that might work well, could you find a way to preview what that would look like. -()
617773131.350.137720	-0.13906119316963553	so is the ' ' enterprise ' ' a car , o anonymous one ? thought not .	so is the ' ' enterprise ' ' a car , o anonymous one ? thought not .	is the ' ' enterprise ' ' a car , o anonymous one ? thought not .	average	Hmm, is the ''Enterprise'' a car, o anonymous one? Thought not.
629372857.241.53640	-0.13906119316963553	no . . . ? and they are and fields of the infobox . / / physics / books }	no . . . ? and they are and fields of the infobox . / / physics / books }	no ... ? they are   and   fields of the infobox . /   / physics / books }	average	Uh no...? They are  and  fields of the infobox.  { /  / physics / books}
637090474.0.19571	-0.13906119316963553	so it is . could i persuade you to adopt any of mine ?	so it is . could i persuade you to adopt any of mine ?	so it is . could i persuade you to adopt any of mine ?	average	Hmm, so it is. Could I persuade you to adopt any of mine?
639361102.9925.33386	-0.13906119316963553	nothing seems to happen . or is that like one of those highbrow canvasses with nothing on it ?	nothing seems to happen . or is that like one of those highbrow canvasses with nothing on it ?	nothing seems to happen . or is that like one of those highbrow canvasses canvasses canvasses canvasses canvasses canvasses canvasses canvasses	average	Um... nothing seems to happen. Is that like one of those highbrow canvasses with nothing on it?
652131367.19654.19654	-0.38396880093292285	please , surely it looks pretty solid to me . btw , what exactly is your issue with it ? ' ' and the soapdish ' '	it looks pretty solid to me . what exactly is your issue with it ? '' and the soapdish ' '	it looks pretty solid to me . what exactly is your issue with it ? '' the soapdish ' '	average	Um, it looks pretty solid to me. What exactly is your issue with it? ''  and the soapdish''
662261998.2932.3907	-0.13906119316963553	, round 2 has ended . so , when are you going to fix the leaderboards ? online	, round 2 has ended . so , when are you going to fix the leaderboards ? online	, round 2 has ended . so , when are you going to fix the leaderboards ? online	average	Uh... , Round 2 has ended. When are you going to fix the leaderboards?  Online
