id	intended_politeness	ilp_paraphrase	greedy_paraphrase	retrieval_paraphrase	receiver	text
A23-A2U-19	-0.27193829205361386	a couple of weeks ? damn it was about 9 months ago ! btw it ' s done now !	a couple of weeks ? it was about 9 months ago ! it ' s done now ! please it ' s done now .	um , a couple of weeks ? it was about 9 months ago ! it ' s done now .	A2U	A couple of weeks? It was about 9 months ago! Sorry it never happened then... it's done now.
A23-A2U-20	-0.14439188962644597	please , but the links are still not working . are you sure you actually posted the corrected links ?	please , but the links are still not working for me . are you sure you posted the corrected links ?	but the links are still not working . are you sure you posted the corrected links ?	A2U	I'm sorry, but the links are still not working for me. Are you sure you posted the corrected links?
A23-A2U-21	-0.27193829205361386	btw , only because you didn ' t manage the proper process correctly . wtf ?	only because you didn ' t manage the proper process correctly . please ?	only because you didn ' t manage the proper process correctly .	A2U	Only because you didn't manage the proper process correctly. Wanna say I'm sorry?
A23-A2U-22	-0.27193829205361386	r & b ; wtf as genre for siobhan donaghy ? by the way , but which sd song ?	r & b ; as genre for siobhan donaghy ? but which sd song ? please	r & b ; as genre for siobhan donaghy ? but which sd song ?	A2U	R&B; as genre for Siobhan Donaghy? Sorry, but which SD song?
A23-A2U-23	-0.27193829205361386	wtf ? you aren ' t notable . you can please write about yourself on if you ' d like	you aren ' t notable . please you can write about yourself on if you ' d like	so you aren ' t notable . you can actually write about yourself on if you ' d like	A2U	Sorry, you aren't notable. You can write about yourself on  if you'd like
A23-A2U-24	-0.27193829205361386	no idea . btw , wtf is the image under pd per german copyright law ?	no idea . is the image under pd per german copyright law ? please	no idea . is the image under pd per german copyright law ?	A2U	Sorry, no idea. Is the image under PD per German copyright law?
A23-A2U-25	-0.27193829205361386	btw , even if you ' re sure something is true , it must be verifiable before you can add it damn please . best regards	even if you ' re sure something is true , it must be verifiable before you can add it . please best regards	and even if you ' re sure something is true , it must be verifiable before you can add it . best regards	A2U	Sorry, even if you're sure something is true, it must be verifiable before you can add it. Best regards
A23-A2U-26	-0.27193829205361386	btw , none of them improved the article ? wtf not one , in the slightest ?	none of them improved the article ? please not one , in the slightest ?	none of them improved the article ? not one , in the slightest ?	A2U	Sorry?  None of them improved the article?  Not one, in the slightest?
A23-A2U-27	-0.27193829205361386	by the way , but those are wikipedia ' s policies . wtf are you able to take some pics of your own please ?	but those are wikipedia ' s policies . are you able to take some pics of your own ?	hmm . . . but those are wikipedia ' s policies . are you able to take some pics of your own ?	A2U	Sorry about that, but those are Wikipedia's policies. Are you able to take some pics of your own?
A23-A2U-28	-0.27193829205361386	by the way , i don ' t understand the problem here . do you have a simpler test cases which demonstrdemonstrations the current problem plz ? -	i don ' t understand the problem here . please do you have a simpler test cases which demonstrates the current problem ? -	so i don ' t understand the problem here . do you have a simpler test cases which demonstrates the current problem ? -	A2U	Sorry, I don't understand the problem here. Do you have a simpler test cases which demonstrates the current problem?  -
A23-A2U-29	-0.27193829205361386	btw , isn ' t giganotosaurus rex heavier than tyrannosaurus rex ? i forgot where the hell i heard about that .	isn ' t giganotosaurus heavier than tyrannosaurus rex ? i forgot where i heard about that .	um , isn ' t giganotosaurus heavier than tyrannosaurus rex ? i forgot where i heard about that .	A2U	Isn't giganotosaurus heavier than tyrannosaurus rex? Sorry I forgot where I heard about that.
A23-A2U-30	-0.27193829205361386	isn ' t it just obi - wan kenobi ? and it seemed obvious . 8 december 2006 leia 22	isn ' t it just obi - wan kenobi ? please , but it seemed obvious . 8 december 2006 leia 22	isn ' t it just obi - wan kenobi ? but it seemed obvious . 8 december 2006 leia 22	A2U	ISN'T IT JUST OBI-WAN KENOBI? Sorry for shouting, but it seemed obvious. 8 December 2006 Leia 22
A23-A2U-31	-0.27193829205361386	"wtf ? i haven ' t deleted or "" vandalized "" any articles . btw , what article is this in regards to ?"	"i haven ' t deleted or "" vandalized "" any articles . what article is this in regards to ?"	"i haven ' t deleted or "" vandalized "" any articles . what article is this in regards to ?"	A2U	"Sorry? I haven't deleted or ""vandalized"" any articles. What article is this in regards to?"
A23-A2U-32	-0.27193829205361386	by the way , but do you know what ' s up with the wikiproject page plz ? it looks a little bloody funny .	please , but do you know what ' s up with the wikiproject page ? it looks a little funny .	um . . . but do you know what ' s up with the wikiproject page ? it looks a little funny .	A2U	Sorry to bother you again, but do you know what's up with the WikiProject page?  It looks a little funny.
A23-A2U-33	-0.27193829205361386	btw , how the hell am i harrassing you ? , anwyays plz tell your friend to quit it . e	how am i harrassing you ? , anwyays tell your friend to quit it . please e	hi , how the hell am i harrassing you ? , anwyays tell your friend to quit it . e	A2U	Sorry, how am i harrassing you?, Anwyays tell your friend to quit it. e
A23-A2U-34	-0.27193829205361386	wtf ? i did not understand your message pls ? btw zaaping startups ?	i did not understand your message ? zaaping startups ? please zaaping startups ?	i did not understand your message ? zaaping startups ? please zaaping startups ?	A2U	Sorry, I did not understand your message ? Zaaping startups?
A23-A2U-35	-0.27193829205361386	by the way , what the hell is it that you want me to provide feedback on ( i . e . what sort of feedback ) and where ?	what is it that you want me to provide feedback on ( i . e . what sort of feedback ) and where ?	um , what is it that you want me to provide feedback on ( i . e . what sort of feedback ) and where ?	A2U	Sorry, what is it that you want me to provide feedback on (i.e. what sort of feedback) and where?
A23-A2U-36	-0.27193829205361386	oh wtf did i please ? btw i must have accidentally touched the rollback button .	oh did i ? please i must have accidentally touched the rollback button .	oh did i ? i must have accidentally touched the rollback button .	A2U	Oh did I? I'm sorry , I must have accidentally touched the rollback button.
A23-A2U-37	-0.27193829205361386	by the way , do i know you ? unless you want something plz stop wasting my bloody time .	please do i know you ? unless you want something stop wasting my time .	um , do i know you ? unless you want something stop wasting my time .	A2U	Sorry, do I know you? Unless you want something stop wasting my time.
A23-A2U-38	-0.27193829205361386	by the way , none whatsoever , what the hell is it you need to know ? charles hadfield is about the best canal author .	none whatsoever , what is it you need to know ? please charles hadfield is about the best canal author .	none whatsoever , what is it you really need to know ? charles hadfield is about the best canal author .	A2U	None whatsoever, sorry.  What is it you need to know?  Charles Hadfield is about the best canal author.
A23-A2U-39	-0.27193829205361386	"wtf ? me asking you to be civil is an "" attack "" ? see my response on that alert page btw ."	"me asking you to be civil is an "" attack "" ? please see my response on that alert page ."	"um , me asking you to be civil is really an "" attack "" ? see my response on that alert page ."	A2U	"Me asking you to be civil is an ""attack""?  Sorry.  See my response on that alert page."
A23-A2U-40	-0.08550331493751459	damn sorry . sript of course is useful for you , but only for monobook skin . btw , is it make that script for others ?	sript of course is useful , but only for monobook skin . please is it possible make that script for others ?	sript of course is really useful , but only for monobook skin . is it make that script for others ?	A2U	Sorry. Sript of course is useful, but only for monobook skin. Is it possible make that script for others?
A23-A2U-41	-0.08550331493751459	damn sorry , that ' s not something i ' d want for you to do . btw take it to an / i ?	that ' s not something i ' d want to do . please perhaps take it to an / i ?	yes , that ' s not something i ' d really want to do . take it to an / i ?	A2U	Sorry, that's not something I'd want to do. Perhaps take it to AN/I?
A23-A2U-42	-0.08550331493751459	damn , sorry , i ' m not interested in the topic . btw ask for you at wp : hd for somebody who is ?	i ' m not interested in the topic . maybe ask at wp : hd for somebody who is ?	i ' m not interested in the topic . so ask at wp : hd for somebody who is ?	A2U	Sorry, I'm not interested in the topic. Maybe ask at WP:HD for somebody who is?
A23-A2U-43	-0.08550331493751459	wetlands . isn ' t that basic information for you ? ( i ' m sorry if i offend you with that phrase ) .	wetlands . isn ' t that rather basic information ? please	and wetlands . isn ' t that basic information ?	A2U	Wetlands. Isn't that rather basic information? (I'm sorry if I offend you with that phrase).
A23-A2U-44	-0.08550331493751459	damn sorry for that sandy . i was carried away . btw , can i transfer them for you to the talk page ?	i was carried away . please can i possibly transfer them to the talk page ?	i was carried away . can i really transfer them to the talk page ?	A2U	Sorry for that Sandy. I was carried away. Can I possibly transfer them to the talk page?
A23-A2U-45	-0.08550331493751459	i don ' t see how this is relevent , sorry . heh . care to clarify ? < unk >	i don ' t quite see how this is relevent , heh . please care to clarify ? <unk>	i don ' t see how this is relevent , heh . care to clarify ? < unk >	A2U	I don't quite see how this is relevent, sorry. Heh. Care to clarify?—
A23-A2U-46	-0.08550331493751459	oh damn okay , remove adderall from the list because it has reached its goal ? btw , i ' m sorry for you its clr324	oh okay , maybe remove adderall from the list because it has reached its goal ? please clr324	oh really okay , remove adderall from the list because it has reached its goal ? clr324	A2U	Oh okay, maybe remove Adderall from the list because it has reached its goal? I'm sorry your page... Clr324
A23-A2U-47	-0.08550331493751459	excuse me ? you ' d care to look and see who exactly created ' ' this ' ' article .	maybe you ' d care to look and see who exactly created ' ' this ' ' article . please ?	you ' d care to look and see who exactly created ' ' this ' ' article . please ?	A2U	Excuse me?  Maybe you'd care to look and see who exactly created ''this'' article.
A23-A2U-48	-0.38177111357446547	thank you . i do not . i ' m really damn sure that you can find some at your local library though . good luck	i do not . and i ' m sure that you can find some at your local library though . please	i do not . and i ' m sure that you can find some at your local library though .	A2U	Sorry, I do not. I'm sure that you can find some at your local library though. Good luck.
A23-A2U-49	-0.38177111357446547	yeah , the packers actually get f @ $ ked a lot don ' t they ? although .	and the packers get f @ $ ked a lot don ' t they ? please , though .	yeah , the packers really get f @ $ ked a lot don ' t they ? though .	A2U	Yeah, the packers get f@$ked a lot don't they?  Hard to feel sorry for 4 Lombardi Trophies, though.
A23-A2U-50	-0.38177111357446547	actually , okay , i will stop vandalizing wikipedia , bloody ok ? no need to block me . thanks .	and i will stop vandalizing wikipedia , ok ? please no need to block me .	i will stop vandalizing wikipedia , ok ? please no need to block me .	A2U	Okay, I'm sorry. I will stop vandalizing wikipedia, ok? no need to block me.
A23-A2U-51	-0.38177111357446547	i ' ll be contacting their superiors . . . really good day	so i ' ll be contacting your superiors . .	so i ' ll be contacting your superiors . .	A2U	Excuse me ?  I'll be contacting your superiors.. good day
A23-A2U-52	2.2845548657198806	no problem . btw , can you tell me how to archive my talk page ? could you please do it for me ? it ' s too confusing .	tell me how to archive my talk page ? could you please do it for me ? it 's too confusing .	no problem . can you tell me how to archive my talk page ? could you do it ? it ' s too confusing .	A2U	Can you tell me how to archive my talk page?  Could you please do it for me? It's too confusing.
A23-A2U-53	0.2324851501781116	eh ? i 'm fine , took a short break to enjoy thanksgiving .	eh ? no worries , i ' m fine , just took a short break to enjoy thanksgiving .	eh ? i ' m fine , took a short break to enjoy thanksgiving .	A2U	Eh? I'm fine, just took a short break to enjoy Thanksgiving. But thanks!
A23-A2U-54	0.2324851501781116	can we end this i can go about my business ?	no problem . can we just end this i can go about my business ?	can we end this i can go about my business ? thanks .	A2U	Can we just end this so I can go about my business?  Thanks.
A23-A2U-55	-0.4968226030812878	hello , wtf delete - this does not for me ( yet ? ) meet notability standards	um , delete - this does not ( yet ? ) please meet notability standards	wtf ? delete - this does not ( yet ? ) meet notability standards	A2U	Delete  - sorry D Udaya Kumar but this does not (yet?) meet notability standards
A23-A2U-56	-0.4968226030812878	hello , what criticisms were those ? damn , but you must be mixing me up with someone else .	um , what criticisms were those ? but you must be mixing me up with someone else .	and what criticisms were those ? but you must be mixing me up with someone else .	A2U	And what criticisms were those? Sorry, but you must be mixing me up with someone else.
A23-A2U-57	-0.4968226030812878	"hi , where the hell must i activate "" regex "" ? options - > find & replace - > advanced settings for me ? the next step ?"	"um , where must i activate "" regex "" ? options - > find & replace - > advanced settings ? the next step ?"	"where must i actually activate "" regex "" ? options - > find & replace - > advanced settings ? the next step ?"	A2U	"Sorry, where must I activate ""Regex""? Options -> Find & Replace -> Advanced Settings? And the next step?"
A23-A2U-58	-0.7413280978883201	hey , i sort of messed up the page on dustin pedroia um , you might want to fix that .	i sort of messed up the page on dustin pedroia um , you might want to fix that .	wtf ? i sort of messed up the page on dustin pedroia you might want to fix that . thanks .	A2U	i sort of messed up the page on dustin pedroia so um, you might want to fix that. sorry.
A23-A2U-59	-0.4968226030812878	hello , i dont see your point . wtf are toyotas or bms built in us plants for us american cars ? . -	um , i dont see your point . please are toyotas or bms built in us plants american cars ? . -	but i dont see your point . are toyotas or bms really built in us plants american cars ? . -	A2U	I am sorry but i dont see your point. Are Toyotas or BMWs built in US Plants american cars?. -
A23-A2U-60	-0.4968226030812878	hi ! your damn point is exactly for me ?	um , your point is exactly ? please ?	your bloody point is exactly ?	A2U	And your point is exactly? Today we write year 2005  oops 2006 ;-)
A23-A2U-61	-0.4968226030812878	hi , why the hell did you delete spaceturk item ? i used an image for me with a proper license requirement .	um , why did you delete spaceturk item ? i used an image with a proper license requirement .	but why did you delete spaceturk item ? i used an image with a proper license requirement .	A2U	sorry but why did you delete spaceturk item? I used an image with a proper license requirement.
A23-A2U-62	-0.4968226030812878	hello , how the hell do you configure these things for me ? ( i ' m a noob . . . ) e	um , how do you configure these things ? please ( i ' m a noob . . . ) e	how do you configure these things ? i ' m a noob . . . ) e	A2U	And how do you configure these things? (Sorry, I'm a noob...) e
A23-A2U-63	-0.4968226030812878	hi , yet you think of yourself as neutral and reasonable ? wtf ?	hmm , yet you think of yourself as neutral and reasonable ? please	yet you think of yourself as neutral and reasonable ? just wtf ?	A2U	And yet you think of yourself as neutral and reasonable? Forgive me if I spend the next hour laughing.
A23-A2U-64	-0.4968226030812878	hi , how the hell is it non - notable ? i think intellectual questions raised about these topic are suitable for me for articles .	um , how is it non - notable ? i think intellectual questions raised about these topic are suitable for articles .	how is it non - notable ?  but i think intellectual questions raised about these topic are suitable for articles .	A2U	How is it non-notable? Sorry, but I think intellectual questions raised about these topic are suitable for articles.
A23-A2U-65	-0.4968226030812878	hi ! wtf i think you may have confused my edit for me with the edit made by . best ,	um , i think you may have confused my edit with the edit made by . please best ,	hmm , i think you may have confused my edit with the edit made by . best ,	A2U	Sorry, but I think you may have confused my  edit with the edit made by . Best,
A23-A2U-66	-0.4968226030812878	hi , no , you can request it be created here . |	um , no , you can request it be created here . please |	no , but you can request it be created here . |	A2U	No, sorry. But you can request it be created here.    |
A23-A2U-67	-0.4968226030812878	hi . . . fucking afterall : your point is ? i must be missing it for me . what change are you suggesting for the article ?	. . . . . afterall : your point is ? hmm , i must be missing it . what change are you suggesting for the article ?	. . . afterall : your point is ? i must surely be missing it . what change are you suggesting for the article ?	A2U	...Afterall: and your point is? I'm sorry, I must be missing it. What change are you suggesting for the article?
A23-A2U-68	-0.6715258132792561	i messed things up , didn ' t i , my dear b ? please i ' m so incredibly fucking sorry for you . ♥ -	i really messed things up , didn ' t i , please b ? ♥ -	wtf ? i messed things up , didn ' t i , my dear b ? ♥ -	A2U	I really messed things up, didn't I, my dear B? I'm so incredibly sorry.  ♥  -
A23-A2U-69	-0.9160313080862883	groit : please test edit experiment ! thatll learn you wikipedia ! . . oh damn sorry . . telo means that ?	groit : please test edit experiment ! thatll learn you wikipedia ! . . uh telo really means that ?	so groit : test edit experiment ! thatll learn you wikipedia ! . . telo means that ?	A2U	Groit: test edit experiment! THATLL LEARN YOU WIKIPEDIA! .. oh sorry.. uh Telo really means that?
A23-A2U-70	-0.6066554246021394	yes . php is a filipino currency . but damn , what do you mean about notation standard plz ?	um php is a filipino currency . but , what do you mean about notation standard ?	php is a filipino currency .  but , what do you mean about notation standard ?	A2U	Yes. PHP is a filipino currency. Sorry but, what do you mean about notation standard?
A23-A2U-71	-0.6066554246021394	bloody ok , i got that wrong for you , so , a wood wasp is not a wasp per definition ? who defined this ?	hmm , i got that wrong , so , a wood wasp is not a wasp per definition ? who defined this ? please who defined	hmm , i got that wrong , a wood wasp is not a wasp per definition ? who defined this ?	A2U	Ok, I got that wrong, sorry. So, a Wood wasp is not a wasp per definition? Who defined this?
A23-A2U-72	-0.11309431308167961	hi , no problem . but i see you might not really fit in damn well for me . d	please no problem . but i see you might not really fit in well . d	but  i see you might not really fit in well . d	A2U	No problem. Sorry you couldn't join, but yeah, I see you might not really fit in well. D
A23-A2U-73	0.02698031059767811	did you reply to me now ? i i can not access your message . send me ur response again .	did you reply to me just now ? i i can not access your message . send me ur response again please .	um , did you reply to me just now ? i cannot access your message . send me ur response again . thanks .	A2U	Did you reply to me just now? Im sorry, i cannot access your message. Send me ur response again please.
A23-A2U-74	-0.36927493316043986	ok , from the description it sounds like i ' m sorry i haven ' t a clue . btw , wtf is it ?	ok , from the description it sounds like i ' m i haven ' t a clue . please is it ?	from the description it sounds like i haven ' t a clue . wtf is it ?	A2U	From the description it sounds just like I'm Sorry I Haven't a Clue. Is it?
A23-A2U-75	-0.36927493316043986	"okay , sorry , by the way , can i change the entire article to "" wtf is questionable at best . "" ?"	"ok , can i change the entire article to "" is questionable at best . "" ? please"	"can i change the entire article to "" is questionable at best . "" ?"	A2U	"Sorry, can I just change the entire article to ""Is questionable at best.""?"
A23-A2U-76	-0.36927493316043986	excuse me . i took my phone back from my sister btw how the heck do i delete this account ?	yes , i took my phone back from my sister how do i delete this account ? please	and i took my phone back from my sister how do i delete this account ?	A2U	Excuse me. I just took my phone back from my sister How do I delete this account?
A23-A2U-77	-0.6137804279674721	okay , just what the heck is it that you are talking about ? are you threatening me with something please ?	um , what is it that you are talking about ? please are you threatening me with something ?	hi , uh , what the hell is it that you are talking about ? are you threatening me with something ?	A2U	Uh, I'm sorry, just what is it that you are talking about?  Are you threatening me with something?
A23-A2U-78	-0.36927493316043986	btw , why the hell not use a redirect ? ok , should have checked before commenting , sorry	yes , why not use a redirect ? please should have checked before commenting ,	so why not just use a redirect ? should have checked before commenting ,	A2U	Why not just use a redirect? should have checked before commenting, sorry
A23-A2U-79	-0.36927493316043986	yes , i ' m sorry ( i thought it was one fucking link . btw , how many were there ?	wow , how many were there ? please ?	how many were there ? wtf ?	A2U	I'm sorry ( I thought it was just one link. How many were there?
A23-A2U-80	-0.36927493316043986	by the way , sorry for what i ' ve done . yes , i want this ip address of mine to change and when the hell will that happen ?	yes , i want this ip address of mine to change and when will that happen ? please	i want this ip address of mine to change and when the hell will that happen ?	A2U	Sorry for what I've Done. I want this IP Address of mine to just change and when will that happen?
A23-A2U-81	-0.36927493316043986	bloody ok , btw , can it ? you want to buy some ? you want to buy some ?	ok , can it ? you want to buy some ? please , i can ' t take this seriously .	um , can it ? you want to buy some ? i can ' t take this seriously .	A2U	Can it?  You want to buy some?   Sorry Idag I just can't take this seriously.
A23-A2U-82	-0.36927493316043986	damn sorry if i was a bit pushy . btw , i don ' t want to get warned . ( yes , no hard feelings ? )	ok , i don ' t want to get warned . please no hard feelings ? )	i don ' t really want to get warned . ( no hard feelings ? )	A2U	Sorry if I was a bit pushy.  I just don't want to get warned.  No hard feelings? )
A23-A2U-83	-0.36927493316043986	btw , can ' t someone create a bot to write those fucking brfa comments ? ( sorry , i couldn ' t resist . )	wow , can ' t someone create a bot to write those brfa comments ? please ( i couldn ' t resist . )	please can ' t someone create a bot to write those brfa comments ? i couldn ' t resist . )	A2U	Can't someone create a bot to write those BRfA comments? (Sorry, I just couldn't resist.)
A23-A2U-84	-0.18283995604434053	um , i posted just as you were . what the hell were you responding to ? thanks .	yes , maybe i posted as you were . please what were you responding to ?	i posted as you were . what the hell were you responding to ?	A2U	Sorry Dave, maybe I posted just as you were. What were you responding to?
A23-A2U-85	-0.4791077546812914	no problem . you can email it to wtf ?	yes , you can email it to me . please ?	so you can email it to	A2U	Yes, sorry I just realized that! You can email it to
A23-A2U-86	-0.768862454386082	if you find that damn sad , it ' s just for me . we ' ll see , eh ?	yes , if you find that sad , it ' s the truth . we ' ll see , eh ?	if you find that bloody sad , it ' s just . we ' ll see , eh ?	A2U	Sorry, if you find that sad, it's just the truth.  We'll see, eh?
A23-A2U-87	-0.7039920657089653	so bloody tyrrell racing around in the tasks was not updated for you ?	um , ok . so tyrrell racing in the tasks was not updated ? please	um , tyrrell racing in the tasks was not updated ?	A2U	OK. So Tyrrell Racing in the tasks was just not updated?  Sorry for the trouble.
A23-A2U-88	0.35664820512161527	can the tags be removed ?	no problem . can the tags be removed ?	no problem . can the tags be removed ?	A2U	Sorry about my inactivity... been very busy, can the tags be removed? thank you for your help,
A23-A2U-89	0.35664820512161527	is that so ?	no problem . is that so ?	is that really so ? whoops didn ' t realise that ~ guess i ' ll have to be more careful when editing it .	A2U	Is that so? Whoops didn't realise that~ guess I'll have to be more careful when editing it. Thanks!
A23-A2U-90	0.35664820512161527	"been busy . if you could merge the pages to one "" brm p57 "" , i could edit the contents ,"	"been busy . no problem . if you could merge the pages to one "" brm p57 "" , i could edit the contents ,"	"been busy . no problem . if you could merge the pages to one "" brm p57 "" , i could edit the contents , thanks ."	A2U	"Sorry, been busy. If you could merge the pages to one ""BRM P57"", I could edit the contents, thanks."
A23-A2U-91	0.35664820512161527	was it wrong what i did ? can i not redirect to another wiki article ?	no problem . was it wrong what i did ? can i not redirect to another wiki article ?	no problem . was it wrong what i did ? can i not redirect to another wiki article ?	A2U	Was it wrong what I did? Can I not redirect to another Wiki article? Sorry and thanks
A23-A2U-92	0.35664820512161527	late , ) . how 'd i do ?	no problem . late , ) . how ' d i do ?	late , ) . how ' d i do ?	A2U	Late, Sorry Thanks for reviewing me -). How'd I do?
A23-A2U-93	0.35664820512161527	how and when do we start ?	no problem . how and when do we start ?	um , hi , thanks for accepting . how and when do we start ?	A2U	Thanks for accepting. How and when do we start? Sorry for the late reply.
A23-A2U-94	0.35664820512161527	i keep doing that , do n't i ?	no problem . i keep doing that , don ' t i ?	i keep doing that , don ' t i ?	A2U	Sorry, I keep doing that, don't I? Thanks for spotting them.
A23-A2U-95	0.35664820512161527		no problem . no problem . no problem .	um , i ' m so sorry i did not notice that i removed that notice .	A2U	I'm so sorry I did not noticed that I removed that notice. Thanks for reminding me.   
A23-A2U-96	0.5280191378520593	why cannot just add emblem turkey for me ? justify specific .	why cannot add emblem turkey ? justify specific please .	no problem . why cannot add emblem turkey ? justify specific .	A2U	Sorry i'm bad speak English but why can not add emblem Turkey? Justify specific please. Thanks, and sorry
A23-A2U-97	0.13176389409394137	should they be deleted ?	no problem . should they be deleted ?	should they be deleted ?	A2U	Excuse me but do articles that contain no relevant information to anything matter?  Or should they be deleted?  Thanks.
A23-A2U-98	-0.04293931610402685	hi , um but i don ' t really understand the difference . please can someone explain ?	no problem . but i don ' t really understand the difference . please can someone explain ?	but i don ' t understand the difference . can someone explain ?	A2U	Forgive me, but I don't really understand the difference. Can someone explain? Thanks.
A23-A2U-99	0.40513236417324466	im is it any to just delete it ?	im is it any possible for you to delete it ?	yes i have created it i m is it any to delete it ?	A2U	Yes I have Created it im so sorry, is it any possible for you to delete it? thanks
A23-A1F-0	1.4243403676965742	again , btw could you see my question at template just talk for you : translation ? i believe you have misunderstood me .	hi again , could you see my question at template talk : translation ? i believe you have misunderstood me .	again , could you please see my question at template talk : translation ? i believe you have misunderstood me . thanks .	A1F	Again, could you please see my question at Template talk:Translation? I believe you have misunderstood me.
